proba_0,proba_1,generation
0.99616814,0.9959671,0
0.992074,0.99256074,1
0.99199396,0.9903282,2
0.98485434,0.992212,3
0.9911321,0.98795867,4
0.984449,0.99023086,5
0.9784789,0.9811776,6
0.97630626,0.98478854,7
0.9802186,0.98077697,8
0.98303425,0.98206365,9
0.9882994,0.978056,10
0.9841274,0.98314744,11
0.9825682,0.97947544,12
0.9794733,0.97939116,13
0.98133034,0.9819924,14
0.97547466,0.98118174,15
0.9884268,0.9744204,16
0.98191786,0.9674926,17
0.98138523,0.9739932,18
0.98039067,0.9784104,19
0.9825807,0.97905934,20
0.9744651,0.9743736,21
0.9779618,0.9759464,22
0.9806749,0.97704846,23
0.98333484,0.9702939,24
0.9780822,0.9713136,25
0.97389,0.9730814,26
0.9781588,0.9782209,27
0.97106075,0.9746471,28
0.9953286,0.9944841,0
0.99379855,0.9936986,1
0.9849869,0.9918545,2
0.98726577,0.9915608,3
0.987421,0.9882621,4
0.98260665,0.9883315,5
0.98420566,0.9873482,6
0.98297715,0.987431,7
0.9780675,0.9893528,8
0.98201936,0.98292994,9
0.98056155,0.9781744,10
0.9813121,0.9833432,11
0.98216254,0.9838857,12
0.9749243,0.9772651,13
0.9808424,0.9846998,14
0.98340636,0.9778893,15
0.97615415,0.97235435,16
0.97909564,0.97802424,17
0.98344725,0.9675459,18
0.97753954,0.9775285,19
0.978201,0.98092407,20
0.9756097,0.9666893,21
0.98283315,0.97491837,22
0.9818714,0.97661394,23
0.9791934,0.98563313,24
0.98163444,0.97276056,25
0.9810178,0.9759876,26
0.9818304,0.97498596,27
0.98079515,0.9752865,28
0.9953286,0.9944841,0
0.99379855,0.9936986,1
0.9849869,0.9918545,2
0.98726565,0.9915608,3
0.987421,0.9882621,4
0.98260665,0.9883315,5
0.98420566,0.9873482,6
0.98297715,0.987431,7
0.9780675,0.9893528,8
0.98201936,0.98292994,9
0.98056155,0.9781744,10
0.9813121,0.9833432,11
0.98216254,0.9838857,12
0.9749243,0.9772651,13
0.9808424,0.98469985,14
0.98340636,0.9778893,15
0.97615415,0.97235435,16
0.97909564,0.97802424,17
0.98344725,0.9675459,18
0.97753954,0.9775285,19
0.978201,0.98092407,20
0.9756097,0.9666893,21
0.98283315,0.97491837,22
0.9818714,0.97661394,23
0.9791934,0.98563313,24
0.98163444,0.97276056,25
0.9810179,0.9759876,26
0.9818304,0.97498596,27
0.9807952,0.9752865,28
0.9953286,0.9944841,0
0.99379855,0.9936986,1
0.9849869,0.9918545,2
0.98726577,0.9915608,3
0.987421,0.9882621,4
0.98260665,0.9883315,5
0.98420566,0.9873482,6
0.98297715,0.987431,7
0.9780675,0.9893528,8
0.98201936,0.98292994,9
0.98056155,0.9781744,10
0.9813121,0.9833432,11
0.98216254,0.9838857,12
0.9749243,0.97726506,13
0.9808424,0.9846998,14
0.98340636,0.9778893,15
0.97615415,0.97235435,16
0.97909564,0.97802424,17
0.98344725,0.9675459,18
0.97753954,0.9775285,19
0.978201,0.98092407,20
0.9756097,0.9666893,21
0.98283315,0.97491837,22
0.9818714,0.97661394,23
0.9791934,0.98563313,24
0.98163444,0.97276056,25
0.9810178,0.9759876,26
0.9818304,0.97498596,27
0.9807952,0.9752865,28
0.9953286,0.9944841,0
0.99379855,0.9936986,1
0.9849869,0.9918545,2
0.98726577,0.9915608,3
0.987421,0.9882621,4
0.98260665,0.9883315,5
0.98420566,0.9873482,6
0.98297715,0.987431,7
0.9780675,0.9893528,8
0.98201936,0.98292994,9
0.98056155,0.9781744,10
0.9813121,0.9833432,11
0.98216254,0.9838857,12
0.9749243,0.9772651,13
0.9808424,0.98469985,14
0.98340636,0.9778893,15
0.97615415,0.97235435,16
0.97909564,0.97802424,17
0.98344725,0.9675459,18
0.97753954,0.9775285,19
0.978201,0.98092407,20
0.9756097,0.9666893,21
0.98283315,0.97491837,22
0.9818714,0.97661394,23
0.9791934,0.98563313,24
0.98163444,0.97276056,25
0.9810179,0.9759876,26
0.9818304,0.97498596,27
0.9807952,0.9752865,28
0.9953286,0.9944841,0
0.99379855,0.9936986,1
0.9849869,0.9918545,2
0.98726577,0.9915608,3
0.987421,0.9882621,4
0.98260665,0.9883315,5
0.98420566,0.9873482,6
0.98297715,0.987431,7
0.9780675,0.9893528,8
0.98201936,0.98292994,9
0.98056155,0.9781744,10
0.9813121,0.9833432,11
0.98216254,0.9838857,12
0.9749243,0.9772651,13
0.9808424,0.98469985,14
0.98340636,0.9778893,15
0.97615415,0.97235435,16
0.97909564,0.97802424,17
0.98344725,0.9675459,18
0.97753954,0.9775285,19
0.978201,0.98092407,20
0.9756097,0.9666893,21
0.98283315,0.97491837,22
0.9818714,0.97661394,23
0.9791934,0.98563313,24
0.98163444,0.97276056,25
0.9810179,0.9759876,26
0.9818304,0.97498596,27
0.98079515,0.9752865,28
0.9953286,0.9944841,0
0.99379855,0.9936986,1
0.9849869,0.9918545,2
0.98726577,0.9915608,3
0.987421,0.9882621,4
0.98260665,0.9883315,5
0.98420566,0.9873482,6
0.98297715,0.987431,7
0.9780675,0.9893528,8
0.98201936,0.98292994,9
0.98056155,0.9781744,10
0.9813121,0.9833432,11
0.98216254,0.9838857,12
0.9749243,0.9772651,13
0.9808424,0.9846998,14
0.98340636,0.9778893,15
0.97615415,0.97235435,16
0.97909564,0.97802424,17
0.98344725,0.9675459,18
0.97753954,0.9775285,19
0.978201,0.98092407,20
0.9756097,0.96668935,21
0.98283315,0.97491837,22
0.9818714,0.97661394,23
0.9791934,0.98563313,24
0.98163444,0.97276056,25
0.9810178,0.9759876,26
0.9818304,0.97498584,27
0.9807952,0.9752865,28
0.97829974,0.9690995,29
0.97820264,0.97379553,30
0.9764977,0.9786718,31
0.98120815,0.9742616,32
0.9698125,0.9703543,33
0.9744545,0.97474766,34
0.9759555,0.9729875,35
0.9746114,0.968395,36
0.9768374,0.9736927,37
0.97578484,0.96477973,38
0.97792923,0.96447647,39
0.9959766,0.9948277,0
0.99287045,0.9919581,1
0.98700386,0.9926384,2
0.9858211,0.9905792,3
0.98211163,0.9912393,4
0.987406,0.98594415,5
0.9801438,0.9871639,6
0.98335904,0.98570913,7
0.9777767,0.98705995,8
0.98390734,0.97999614,9
0.98339427,0.9856033,10
0.985603,0.9815548,11
0.9772433,0.9808057,12
0.9760747,0.9753603,13
0.97057194,0.9761155,14
0.9768883,0.9772664,15
0.9791734,0.9821346,16
0.9833693,0.9826766,17
0.9803523,0.98028946,18
0.98807347,0.9765024,19
0.97809887,0.9725673,20
0.9849622,0.97576183,21
0.9839879,0.9786478,22
0.97951627,0.97415864,23
0.9781068,0.97705936,24
0.97397184,0.97297776,25
0.9768151,0.97399306,26
0.97750276,0.97339696,27
0.9777556,0.9771292,28
0.9800381,0.97173953,29
0.9756554,0.96645856,30
0.97438926,0.97617906,31
0.97560376,0.97457594,32
0.97768253,0.9732723,33
0.977298,0.96971446,34
0.9730044,0.9735512,35
0.97821295,0.9788963,36
0.9770911,0.9722945,37
0.98061275,0.9714707,38
0.970213,0.9701515,39
