generation,label_bal,color_bal
0,0.517,0.528
1,0.53,0.54
2,0.518,0.524
3,0.514,0.482
4,0.497,0.517
5,0.497,0.504
6,0.534,0.503
7,0.534,0.492
8,0.522,0.524
9,0.538,0.494
10,0.538,0.506
11,0.566,0.518
12,0.625,0.545
13,0.632,0.511
14,0.689,0.505
15,0.715,0.537
16,0.732,0.484
17,0.771,0.534
18,0.783,0.49
19,0.756,0.517
20,0.782,0.491
21,0.743,0.489
22,0.73,0.502
23,0.792,0.518
24,0.759,0.507
25,0.781,0.493
26,0.776,0.504
27,0.75,0.49
28,0.727,0.497
29,0.733,0.497
30,0.707,0.513
31,0.692,0.498
0,0.51,0.524
1,0.494,0.536
2,0.534,0.506
3,0.522,0.526
4,0.507,0.514
5,0.504,0.507
6,0.503,0.487
7,0.494,0.504
8,0.53,0.518
9,0.507,0.518
10,0.548,0.497
11,0.519,0.517
12,0.573,0.504
13,0.667,0.511
14,0.674,0.523
15,0.702,0.523
16,0.709,0.473
17,0.756,0.521
18,0.771,0.486
19,0.745,0.497
20,0.784,0.498
21,0.751,0.495
22,0.768,0.502
23,0.776,0.508
24,0.773,0.496
25,0.751,0.49
26,0.761,0.476
27,0.77,0.493
28,0.755,0.509
29,0.683,0.485
30,0.724,0.497
31,0.703,0.506
0,0.51,0.524
1,0.494,0.536
2,0.534,0.506
3,0.522,0.526
4,0.507,0.514
5,0.504,0.507
6,0.503,0.487
7,0.494,0.504
8,0.53,0.518
9,0.507,0.518
10,0.548,0.497
11,0.519,0.517
12,0.573,0.504
13,0.667,0.511
14,0.674,0.523
15,0.702,0.523
16,0.709,0.473
17,0.756,0.521
18,0.771,0.486
19,0.745,0.497
20,0.784,0.498
21,0.751,0.495
22,0.768,0.502
23,0.776,0.508
24,0.773,0.496
25,0.751,0.49
26,0.761,0.476
27,0.77,0.493
28,0.755,0.509
29,0.683,0.485
30,0.724,0.497
31,0.703,0.506
0,0.51,0.524
1,0.494,0.536
2,0.534,0.506
3,0.522,0.526
4,0.507,0.514
5,0.504,0.507
6,0.503,0.487
7,0.494,0.504
8,0.53,0.518
9,0.507,0.518
10,0.548,0.497
11,0.519,0.517
12,0.573,0.504
13,0.667,0.511
14,0.674,0.523
15,0.702,0.523
16,0.709,0.473
17,0.756,0.521
18,0.771,0.486
19,0.745,0.497
20,0.784,0.498
21,0.751,0.495
22,0.768,0.502
23,0.776,0.508
24,0.773,0.496
25,0.751,0.49
26,0.761,0.476
27,0.77,0.493
28,0.755,0.509
29,0.683,0.485
30,0.724,0.497
31,0.703,0.506
0,0.51,0.524
1,0.494,0.536
2,0.534,0.506
3,0.522,0.526
4,0.507,0.514
5,0.504,0.507
6,0.503,0.487
7,0.494,0.504
8,0.53,0.518
9,0.507,0.518
10,0.548,0.497
11,0.519,0.517
12,0.573,0.504
13,0.667,0.511
14,0.674,0.523
15,0.702,0.523
16,0.709,0.473
17,0.756,0.521
18,0.771,0.486
19,0.745,0.497
20,0.784,0.498
21,0.751,0.495
22,0.768,0.502
23,0.776,0.508
24,0.773,0.496
25,0.751,0.49
26,0.761,0.476
27,0.77,0.493
28,0.755,0.509
29,0.683,0.485
30,0.724,0.497
31,0.703,0.506
0,0.51,0.524
1,0.494,0.536
2,0.534,0.506
3,0.522,0.526
4,0.507,0.514
5,0.504,0.507
6,0.503,0.487
7,0.494,0.504
8,0.53,0.518
9,0.507,0.518
10,0.548,0.497
11,0.519,0.517
12,0.573,0.504
13,0.667,0.511
14,0.674,0.523
15,0.702,0.523
16,0.709,0.473
17,0.756,0.521
18,0.771,0.486
19,0.745,0.497
20,0.784,0.498
21,0.751,0.495
22,0.768,0.502
23,0.776,0.508
24,0.773,0.496
25,0.751,0.49
26,0.761,0.476
27,0.77,0.493
28,0.755,0.509
29,0.683,0.485
30,0.724,0.497
31,0.703,0.506
0,0.51,0.524
1,0.494,0.536
2,0.534,0.506
3,0.522,0.526
4,0.507,0.514
5,0.504,0.507
6,0.503,0.487
7,0.494,0.504
8,0.53,0.518
9,0.507,0.518
10,0.548,0.497
11,0.519,0.517
12,0.573,0.504
13,0.667,0.511
14,0.674,0.523
15,0.702,0.523
16,0.709,0.473
17,0.756,0.521
18,0.771,0.486
19,0.745,0.497
20,0.784,0.498
21,0.751,0.495
22,0.768,0.502
23,0.776,0.508
24,0.773,0.496
25,0.751,0.49
26,0.761,0.476
27,0.77,0.493
28,0.755,0.509
29,0.683,0.485
30,0.724,0.497
31,0.703,0.506
32,0.653,0.495
33,0.695,0.495
34,0.655,0.502
35,0.674,0.502
36,0.676,0.498
37,0.635,0.533
38,0.624,0.503
39,0.578,0.5
0,0.539,0.528
1,0.51,0.548
2,0.472,0.539
3,0.457,0.576
4,0.433,0.529
5,0.396,0.54
6,0.369,0.504
7,0.351,0.528
8,0.363,0.494
9,0.329,0.521
10,0.305,0.503
11,0.313,0.523
12,0.332,0.486
13,0.365,0.502
14,0.387,0.536
15,0.504,0.522
16,0.563,0.484
17,0.576,0.491
18,0.546,0.491
19,0.509,0.495
20,0.492,0.497
21,0.492,0.516
22,0.503,0.543
23,0.479,0.496
24,0.472,0.521
25,0.458,0.5
26,0.455,0.511
27,0.422,0.498
28,0.38,0.533
29,0.354,0.516
30,0.337,0.495
31,0.325,0.524
32,0.316,0.499
33,0.322,0.512
34,0.28,0.49
35,0.293,0.503
36,0.265,0.488
37,0.277,0.519
38,0.263,0.486
39,0.26,0.521
