generation,epoch,gen_loss
0,0,80601.79208685427
0,10,27255.990343989157
0,20,26357.739656409438
1,0,72840.10799984056
1,10,32170.486597177933
1,20,31475.808294802297
2,0,69810.67673788265
2,10,34161.91978236607
2,20,33700.78443877551
3,0,74652.54532047194
3,10,35572.53694993623
3,20,35282.589405293365
4,0,72068.5928531569
4,10,36297.75910794005
4,20,36122.102000956635
5,0,66152.34793526786
5,10,35881.80261479592
5,20,35819.835499043365
6,0,66139.81299824617
6,10,36719.355488679845
6,20,36570.327686543365
7,0,68297.98395647321
7,10,37346.704599808676
7,20,37266.96988600127
8,0,70011.92329001913
8,10,37954.650629783166
8,20,37915.63620057398
9,0,70210.64496970663
9,10,38340.235530931124
9,20,38282.30289381377
10,0,66715.73030931123
10,10,38836.96079799107
10,20,38790.30430883291
11,0,66158.3436702806
11,10,38687.076969068876
11,20,38604.12123325893
12,0,63443.43540736607
12,10,39024.791294642855
12,20,38971.02333785076
13,0,64841.553431919645
13,10,39522.823321906886
13,20,39539.45663265306
14,0,71571.49587452169
14,10,40259.563954878824
14,20,40226.57180723852
15,0,70757.65746572067
15,10,40230.20143096301
15,20,40256.77748325893
16,0,71272.63335060587
16,10,40448.08773118623
16,20,40405.147959183676
17,0,73554.89046556123
17,10,40803.59173708546
17,20,40796.5101044324
18,0,70703.22439014669
18,10,41253.9547393176
18,20,41144.993861607145
19,0,69360.32766661352
19,10,42173.771045918365
19,20,42024.7298309949
20,0,65776.04261001275
20,10,42396.45384247449
20,20,42378.095623405614
21,0,73661.8600526148
21,10,41939.77558992347
21,20,41889.44541214924
22,0,68157.01580436862
22,10,42102.01680086097
22,20,42083.59785554847
23,0,69192.33731265944
23,10,42649.424007493624
23,20,42566.43389269771
24,0,67726.95071348852
24,10,42987.825374681124
24,20,42958.52750318877
25,0,70779.11740672831
25,10,42732.033223054845
25,20,42785.65152662627
26,0,70075.33073580996
26,10,42903.644710618624
26,20,42908.16725127551
27,0,69197.04059709821
27,10,43436.5735809949
27,20,43466.45272640306
28,0,68766.64985251913
28,10,43807.75964604592
28,20,43845.68150111607
29,0,72484.13909040179
29,10,43464.27845982143
29,20,43338.9062101403
30,0,72586.370834662
30,10,43908.89459103954
30,20,43892.177734375
31,0,73388.49312420281
31,10,43747.27180325255
31,20,43704.97825653699
32,0,75703.7435028699
32,10,43888.237324617345
32,20,43888.28109056123
33,0,68238.27596859056
33,10,44025.80247528699
33,20,43991.32174744898
34,0,72212.88970822704
34,10,43626.158203125
34,20,43560.96930803572
35,0,68562.81044722577
35,10,44140.34837372449
35,20,44077.742984693876
36,0,74683.91802853954
36,10,45374.782445790814
36,20,45361.26861447704
37,0,72492.12976323342
37,10,45525.4915497449
37,20,45533.025370695155
38,0,75191.04725366709
38,10,45990.05227598852
38,20,45942.04603794643
39,0,70571.63789461098
39,10,46763.45354352678
39,20,46681.89098373725
0,0,80600.92145149075
0,10,27243.54008888712
0,20,26349.86029675542
1,0,73305.30393016581
1,10,32166.414311623088
1,20,31460.0439453125
2,0,68897.23222257652
2,10,34118.6650390625
2,20,33797.083227040814
3,0,74396.12978316327
3,10,35664.41878587373
3,20,35406.961017219386
4,0,71096.18443080357
4,10,36278.84068080357
4,20,36103.713368941324
5,0,69314.7776426977
5,10,37304.14688297194
5,20,37150.62246890944
6,0,67991.96223294004
6,10,38391.32549426021
6,20,38279.009227519135
7,0,68747.21422592475
7,10,39207.561543367345
7,20,39118.09215561225
8,0,72086.62111367985
8,10,39875.59111926021
8,20,39682.15222417092
9,0,73053.23224250638
9,10,40003.80018335459
9,20,39943.521504304845
10,0,69568.03499681123
10,10,40816.03150908801
10,20,40754.008310746176
11,0,68681.13416772959
11,10,40906.73782286352
11,20,40879.163783482145
12,0,65865.50336814413
12,10,41502.164560746176
12,20,41440.0045440051
13,0,67901.021484375
13,10,42644.87982302296
13,20,42614.44666772959
14,0,73137.3893494898
14,10,43184.38636001275
14,20,43144.15834263393
15,0,72592.27240114796
15,10,42676.374980070155
15,20,42693.565668845666
16,0,73857.05642139669
16,10,42604.717693718114
16,20,42609.48935746174
17,0,72740.7760283801
17,10,42487.40923947704
17,20,42483.74864477041
18,0,67903.2308075574
18,10,41468.2770049426
18,20,41450.947185905614
19,0,66346.30291374362
19,10,41634.00237165178
19,20,41622.279476243624
20,0,65203.858119419645
20,10,42066.31552933674
20,20,42035.773357780614
21,0,71002.81536989796
21,10,41955.379962531886
21,20,41942.632991868624
22,0,67367.91960299746
22,10,42369.843012595666
22,20,42347.49208785076
23,0,68005.61993781888
23,10,42652.13534359056
23,20,42655.77353714924
24,0,65993.50506218112
24,10,43074.97883450255
24,20,43036.09416852678
25,0,69018.24202806123
25,10,43140.852459343114
25,20,43124.22038424745
26,0,69106.93965242348
26,10,43053.226841517855
26,20,43028.994838169645
27,0,66515.97614397321
27,10,42937.543726084186
27,20,42929.7978914222
28,0,67562.17735570791
28,10,42960.69023038903
28,20,42930.25350765306
29,0,68192.93556680485
29,10,42634.97086256377
29,20,42616.78653140944
30,0,71988.30968989158
30,10,42652.11431760204
30,20,42650.51504703444
31,0,66911.88283242985
31,10,43068.636639030614
31,20,43061.72271603954
32,0,72971.71480389031
32,10,43452.630859375
32,20,43411.6278898278
33,0,69446.90601084183
33,10,43622.04707429847
33,20,43598.16087372449
34,0,70987.81365593112
34,10,43989.98545121174
34,20,43981.64921476403
35,0,71629.83254942602
35,10,43919.80725845025
35,20,43925.65806361607
36,0,72170.36059072067
36,10,44192.308812978314
36,20,44179.42865114796
37,0,72781.10778061225
37,10,44569.686443718114
37,20,44558.36979830995
38,0,71348.74334343112
38,10,45171.95758928572
38,20,45149.774912308676
39,0,65452.425601881376
39,10,45253.565708705355
39,20,45238.58775111607
