generation,label_bal,color_bal
0,0.428,0.507
1,0.399,0.529
2,0.388,0.464
3,0.386,0.52
4,0.406,0.512
5,0.43,0.495
6,0.44,0.526
7,0.445,0.5
8,0.457,0.515
9,0.453,0.499
10,0.458,0.529
11,0.499,0.508
12,0.517,0.52
13,0.52,0.513
14,0.506,0.492
15,0.511,0.517
16,0.498,0.511
17,0.492,0.498
18,0.49,0.516
19,0.516,0.501
20,0.467,0.475
21,0.508,0.493
22,0.513,0.523
23,0.557,0.5
24,0.541,0.495
25,0.569,0.498
26,0.571,0.518
27,0.588,0.496
28,0.55,0.512
29,0.528,0.522
30,0.528,0.515
31,0.527,0.501
32,0.533,0.553
33,0.546,0.509
34,0.546,0.535
35,0.572,0.51
36,0.544,0.532
37,0.534,0.496
38,0.548,0.507
39,0.525,0.505
40,0.538,0.534
