proba_0,proba_1,generation
0.9956207,0.99643344,0
0.99565864,0.99712896,1
0.9975988,0.99732214,2
0.9981371,0.99748796,3
0.9929409,0.9972313,4
0.9977474,0.99761325,5
0.99620986,0.9921694,6
0.99600446,0.99816364,7
0.9945253,0.9979462,8
0.9966735,0.9980076,9
0.9974925,0.99330145,10
0.9976268,0.99674904,11
0.9955151,0.9973114,12
0.9971162,0.9928159,13
0.9969821,0.9979599,14
0.9988051,0.99719644,15
0.9944064,0.9938972,16
0.9925216,0.99460477,17
0.9960472,0.99768376,18
0.99693805,0.99669254,19
0.996372,0.99668366,20
0.9951494,0.9956903,21
0.9976105,0.9965171,22
0.99506396,0.9965894,23
0.99893355,0.99507046,24
0.9960798,0.9981923,25
0.99738336,0.99647486,26
0.9988053,0.99678963,27
0.99681973,0.99543834,28
0.99890924,0.99612695,29
0.99375015,0.99606013,30
0.9982869,0.9984599,31
0.99634653,0.9967219,32
0.9968342,0.9952418,33
0.99649554,0.99442846,34
0.99649173,0.9958957,35
0.99751234,0.99718475,36
0.99576503,0.99693537,37
0.995024,0.998332,38
0.9962494,0.99605614,39
0.997041,0.9988609,40
