proba_0,proba_1,generation
0.996369,0.99763626,0
0.9899333,0.990036,1
0.98463696,0.98858744,2
0.97775763,0.98752075,3
0.98164785,0.9851401,4
0.98198164,0.9862918,5
0.978369,0.97759336,6
0.97881794,0.9822013,7
0.97955865,0.98308694,8
0.9799875,0.9818735,9
0.97742164,0.9766373,10
0.9731995,0.9806283,11
0.9732598,0.9701417,12
0.9756411,0.98113483,13
0.9786374,0.972884,14
0.9682682,0.9748915,15
0.9734383,0.972334,16
0.96626884,0.9751807,17
0.974856,0.9740183,18
0.9695527,0.97569025,19
0.9684595,0.9684156,20
0.9709181,0.9738183,21
0.9722256,0.9704392,22
0.9748891,0.97359735,23
0.9700575,0.97155344,24
0.9739849,0.96455085,25
0.9658052,0.9632129,26
0.9689539,0.96401125,27
0.9702834,0.96912557,28
0.96304685,0.9653947,29
0.96266407,0.97211474,30
0.9644233,0.95963335,31
0.9704781,0.9634053,32
0.9564552,0.96520984,33
0.9627249,0.97261906,34
0.9617466,0.9600103,35
0.9628087,0.9671517,36
0.9572358,0.9659933,37
0.96127355,0.9520403,38
0.96222585,0.958365,39
