generation,epoch,gen_loss
0,0,69491.15108816964
0,10,27259.92986188616
0,20,26313.179827008928
1,0,72096.67988679848
1,10,31837.54839963329
1,20,31300.2328902264
2,0,72722.27479272959
2,10,34003.49107142857
2,20,33805.40218431123
3,0,71952.95210857781
3,10,34707.054209183676
3,20,34454.657505580355
4,0,72637.14634486607
4,10,35620.54308832908
4,20,35518.718251753824
5,0,69394.64225924746
5,10,36205.46354830995
5,20,36098.24962133291
6,0,68065.97283561862
6,10,36896.391521843114
6,20,36813.653758769135
7,0,70865.08645567602
7,10,37687.224589445155
7,20,37603.66659359056
8,0,67810.5686981824
8,10,37957.03987962373
8,20,37921.954998405614
9,0,73471.66354432398
9,10,38707.71374760842
9,20,38569.2574736926
10,0,68996.8444276148
10,10,39580.18052455357
10,20,39547.007533482145
11,0,74595.10062579719
11,10,39998.896763392855
11,20,39960.294025031886
12,0,69143.45557637117
12,10,40432.92145647322
12,20,40363.27818080357
13,0,66639.03336256377
13,10,40035.58362563775
13,20,40009.40068957271
14,0,67117.45790816327
14,10,40379.537806919645
14,20,40379.927913743624
15,0,65808.19180484694
15,10,40795.94794323979
15,20,40786.28326291454
16,0,70059.0638153699
16,10,41429.465023118624
16,20,41342.37511957908
17,0,68602.93112244898
17,10,41272.00625797194
17,20,41258.77477279975
18,0,70555.10867745536
18,10,41732.13213488521
18,20,41744.32441804847
19,0,68011.09640066964
19,10,43132.88853236607
19,20,43051.03362165178
20,0,67679.02558992348
20,10,42847.947743941324
20,20,42882.84030213648
21,0,64727.08916613521
21,10,41999.790278220666
21,20,42010.768534757655
22,0,72147.29627710459
22,10,42882.348553093114
22,20,42881.8069794324
23,0,67435.24133051658
23,10,42826.806560905614
23,20,42880.50225207271
24,0,70270.71095742985
24,10,42574.76696029975
24,20,42582.217952806124
25,0,62387.673349808676
25,10,41571.862484056124
25,20,41563.174306441324
26,0,67883.15754544004
26,10,41094.80741788903
26,20,41072.30422911352
27,0,64314.19248246174
27,10,41227.383350605865
27,20,41242.63938934949
28,0,67293.4892578125
28,10,41612.11999760842
28,20,41623.08918606505
29,0,68597.07816485969
29,10,41537.790258290814
29,20,41551.65196508291
30,0,68419.30139907525
30,10,41530.29041772959
30,20,41524.54023836097
31,0,65390.743702168365
31,10,41113.041234853314
31,20,41054.36744658801
32,0,67649.13695790817
32,10,40991.519092793365
32,20,40965.790058992345
33,0,65503.9960538903
33,10,41396.532306281886
33,20,41393.68859614158
34,0,66714.16238839286
34,10,41497.23086734694
34,20,41531.70298549107
35,0,66172.30195711098
35,10,41766.108318718114
35,20,41765.878408003824
36,0,63429.40654894771
36,10,42102.70174984056
36,20,42118.012974330355
37,0,67892.68375318877
37,10,42564.04358657525
37,20,42530.342494419645
38,0,67330.54635682398
38,10,42685.97584502551
38,20,42686.43046476403
39,0,67946.79017857143
39,10,42102.625498246176
39,20,42029.21155532525
