generation,label_bal,color_bal
0,0.635,0.536
1,0.628,0.514
2,0.61,0.534
3,0.626,0.504
4,0.649,0.528
5,0.664,0.534
6,0.629,0.536
7,0.66,0.515
8,0.648,0.513
9,0.675,0.53
10,0.681,0.53
11,0.7,0.533
12,0.721,0.52
13,0.783,0.485
14,0.789,0.504
15,0.845,0.506
16,0.811,0.509
17,0.789,0.491
18,0.728,0.526
19,0.756,0.519
20,0.759,0.514
21,0.733,0.523
22,0.743,0.519
23,0.73,0.545
24,0.742,0.521
25,0.717,0.562
26,0.755,0.513
27,0.745,0.534
28,0.751,0.545
29,0.719,0.552
30,0.757,0.538
31,0.745,0.566
32,0.752,0.54
33,0.758,0.529
34,0.761,0.531
35,0.736,0.532
36,0.762,0.523
37,0.773,0.51
38,0.782,0.523
39,0.789,0.534
