proba_0,proba_1,generation
0.99411684,0.9972571,0
0.9942577,0.99382424,1
0.9888546,0.9873768,2
0.98767823,0.98808473,3
0.98303306,0.9872624,4
0.9809349,0.98123586,5
0.9866165,0.98394597,6
0.97474986,0.9771201,7
0.9742807,0.985053,8
0.9815424,0.9791652,9
0.9763635,0.9784546,10
0.96996474,0.9790352,11
0.9786471,0.97959214,12
0.97536105,0.9750858,13
0.9738019,0.9749719,14
0.9738935,0.97846425,15
0.96904355,0.9732873,16
0.97061056,0.97357965,17
0.970148,0.9767747,18
0.9683743,0.97165173,19
0.9647972,0.9690985,20
0.96278715,0.969149,21
0.9673319,0.9723621,22
0.9645532,0.9730065,23
0.96050113,0.96634287,24
0.9640478,0.9666096,25
0.96745974,0.96942186,26
0.9660819,0.9691243,27
0.9579293,0.9642989,28
0.9618412,0.9572533,29
0.9646967,0.96619713,30
0.96810246,0.962497,31
0.95505655,0.9609912,32
0.96395826,0.96167433,33
0.95269454,0.9584727,34
0.95506924,0.96292335,35
0.95456266,0.96063006,36
0.9566773,0.96011895,37
0.9616214,0.9653008,38
0.933813,0.9587975,39
