generation,label_bal,color_bal
0,0.508,0.503
1,0.504,0.52
2,0.5,0.571
3,0.531,0.561
4,0.545,0.536
5,0.546,0.569
6,0.615,0.527
7,0.624,0.556
8,0.678,0.528
9,0.702,0.57
10,0.707,0.557
11,0.747,0.554
12,0.778,0.562
13,0.837,0.561
14,0.847,0.582
15,0.825,0.55
16,0.79,0.58
17,0.806,0.594
18,0.8,0.56
19,0.799,0.595
20,0.798,0.559
21,0.812,0.59
22,0.816,0.6
23,0.821,0.576
24,0.843,0.572
25,0.846,0.577
26,0.823,0.588
27,0.844,0.568
28,0.864,0.568
29,0.85,0.56
30,0.86,0.585
31,0.883,0.568
32,0.894,0.573
33,0.902,0.568
34,0.882,0.574
35,0.919,0.566
36,0.931,0.55
37,0.924,0.544
38,0.924,0.554
39,0.948,0.532
