generation,label_bal,color_bal
0,0.536,0.519
1,0.573,0.484
2,0.555,0.494
3,0.572,0.479
4,0.501,0.451
5,0.494,0.459
6,0.426,0.5
7,0.485,0.499
8,0.468,0.467
9,0.41,0.501
10,0.405,0.48
11,0.416,0.471
12,0.406,0.474
13,0.422,0.464
14,0.393,0.504
15,0.382,0.478
16,0.396,0.505
17,0.404,0.497
18,0.409,0.488
19,0.489,0.482
20,0.492,0.484
21,0.512,0.5
22,0.516,0.497
23,0.541,0.454
24,0.537,0.474
25,0.544,0.471
26,0.52,0.446
27,0.569,0.482
28,0.545,0.517
29,0.567,0.49
30,0.554,0.507
31,0.569,0.482
32,0.596,0.483
33,0.651,0.479
34,0.61,0.504
35,0.634,0.507
36,0.615,0.486
37,0.651,0.478
38,0.657,0.48
39,0.63,0.502
40,0.67,0.474
