proba_0,proba_1,generation
0.9934155,0.995064,0
0.9933141,0.99650985,1
0.99577844,0.9952881,2
0.9941821,0.99568045,3
0.99626493,0.9934223,4
0.9969796,0.9961438,5
0.9955538,0.9955022,6
0.9938973,0.99541736,7
0.99771297,0.99676627,8
0.9964183,0.9954548,9
0.995788,0.99307585,10
0.9957287,0.99344665,11
0.9965428,0.9979464,12
0.9968181,0.9980499,13
0.9954616,0.99780536,14
0.9955633,0.993027,15
0.9953232,0.99421626,16
0.9959138,0.99744546,17
0.9957721,0.9941154,18
0.99607396,0.99554545,19
0.9958931,0.99897784,20
0.9948715,0.993704,21
0.99799865,0.9937595,22
0.9967881,0.9972071,23
0.99641776,0.99681145,24
0.99671984,0.9967146,25
0.9961537,0.9964773,26
0.9956669,0.99626476,27
0.9955629,0.9956086,28
0.99710983,0.9933255,29
0.9940846,0.998459,30
0.9969739,0.9964002,31
0.9951598,0.9937907,32
0.99592483,0.9969641,33
0.99768686,0.9959768,34
0.99606836,0.9972445,35
0.99496347,0.9968474,36
0.99596477,0.9918123,37
0.998264,0.9951694,38
0.9979537,0.99614966,39
0.9973131,0.9951925,40
