generation,label_bal,color_bal
0,0.54,0.49
1,0.55,0.6
2,0.67,0.53
3,0.72,0.45
4,0.71,0.42
5,0.91,0.43
6,0.97,0.38
7,0.95,0.53
8,1.0,0.38
9,0.98,0.48
10,0.99,0.38
11,1.0,0.53
12,0.99,0.35
13,1.0,0.44
14,1.0,0.33
15,1.0,0.3
16,1.0,0.42
17,1.0,0.32
18,0.99,0.45
19,1.0,0.38
20,1.0,0.4
21,1.0,0.46
22,1.0,0.4
23,1.0,0.42
24,1.0,0.35
25,1.0,0.39
26,1.0,0.44
27,1.0,0.34
28,1.0,0.36
29,1.0,0.45
30,1.0,0.41
31,1.0,0.34
32,1.0,0.42
33,1.0,0.34
34,1.0,0.36
35,1.0,0.4
36,1.0,0.33
37,1.0,0.4
38,1.0,0.35
39,1.0,0.3
