proba_0,proba_1,generation
0.991058,0.9720851,0
0.99180627,0.9770701,1
0.95669186,0.9674886,2
0.94713193,0.94698614,3
0.949766,0.9628555,4
0.9816015,0.9693835,5
0.943072,0.97025645,6
0.9212943,0.9511351,7
0.93373406,0.9509637,8
0.9581294,0.9709792,9
0.90580875,0.96506757,10
0.94463915,0.94526523,11
0.9643266,0.9294478,12
0.94214153,0.9444973,13
0.93793374,0.9579496,14
0.951764,0.96102834,15
0.91322356,0.95853645,16
0.90354085,0.95723164,17
0.9052732,0.93939877,18
0.93835586,0.96619046,19
0.9017423,0.94107574,20
0.8750708,0.95291865,21
0.9303447,0.9241106,22
0.94509053,0.9293406,23
0.9308223,0.9527546,24
0.87745625,0.92373466,25
0.89624417,0.9088936,26
0.8930318,0.92554146,27
0.88257384,0.90614396,28
0.85522157,0.93805456,29
0.8660033,0.914406,30
0.8925964,0.9090289,31
0.858604,0.8892585,32
0.8751017,0.9172937,33
0.9077139,0.8815002,34
0.92009044,0.9077857,35
0.8877455,0.91787696,36
0.88204134,0.90952384,37
0.8858988,0.89187133,38
0.8461396,0.86210394,39
