generation,epoch,gen_loss
0,0,77200.23346819196
1,0,75799.88558274873
2,0,69779.52379623725
3,0,71391.1574856505
4,0,71610.53206712373
5,0,65802.5475526148
6,0,64518.91711176658
7,0,68653.19260204081
8,0,69624.18787866709
9,0,70756.18773915817
10,0,66722.14431202169
11,0,66726.3495296556
12,0,66292.1666932398
13,0,63481.11806441326
14,0,63863.387476084186
15,0,61229.07354113521
16,0,63410.74716996174
17,0,62926.921795280614
18,0,62187.46177455357
19,0,62912.498266103314
20,0,65525.18919403699
21,0,62851.5858976403
22,0,66594.64791932398
23,0,65560.72401147959
24,0,63776.333446269135
25,0,64359.13881138393
26,0,63175.480648118624
27,0,64816.68736049107
28,0,64213.00852997449
29,0,64770.68076371174
30,0,63809.78716916454
31,0,66701.002212213
32,0,64523.20559630102
33,0,60648.41741071428
34,0,61300.55169802296
35,0,61632.812978316324
36,0,61926.624043367345
37,0,62340.5481903699
38,0,60361.007732780614
39,0,59148.69423628826
