generation,label_bal,color_bal
0,0.529,0.452
1,0.508,0.445
2,0.51,0.41
3,0.468,0.437
4,0.455,0.433
5,0.446,0.417
6,0.426,0.416
7,0.453,0.378
8,0.471,0.344
9,0.455,0.362
10,0.449,0.365
11,0.455,0.368
12,0.415,0.372
13,0.394,0.398
14,0.376,0.396
15,0.332,0.413
16,0.36,0.383
17,0.374,0.377
18,0.355,0.381
19,0.368,0.37
20,0.339,0.38
21,0.339,0.374
22,0.314,0.412
23,0.311,0.387
24,0.245,0.424
25,0.261,0.398
26,0.276,0.414
27,0.235,0.434
28,0.208,0.414
29,0.201,0.426
30,0.184,0.414
31,0.183,0.407
32,0.19,0.411
33,0.178,0.42
34,0.146,0.408
35,0.134,0.405
36,0.13,0.417
37,0.118,0.42
38,0.09,0.438
39,0.106,0.42
0,0.7,0.42
0,0.55,0.48
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,1.0,1.0
5,1.0,1.0
6,1.0,1.0
7,0.0,1.0
0,0.68,0.44
1,0.81,0.43
2,0.88,0.29
3,0.84,0.35
4,0.89,0.37
5,0.89,0.28
6,0.9,0.21
7,0.95,0.27
8,0.96,0.17
9,0.96,0.17
0,0.66,0.44
1,0.72,0.38
2,0.69,0.34
3,0.72,0.27
4,0.76,0.32
5,0.71,0.23
6,0.78,0.24
7,0.77,0.14
8,0.8,0.19
9,0.74,0.12
10,0.76,0.12
11,0.75,0.13
12,0.8,0.08
13,0.69,0.16
14,0.75,0.13
15,0.73,0.12
16,0.75,0.1
17,0.79,0.05
18,0.72,0.07
19,0.76,0.09
20,0.77,0.15
21,0.69,0.04
22,0.76,0.07
23,0.63,0.03
24,0.79,0.07
25,0.64,0.01
26,0.58,0.02
27,0.6,0.03
28,0.64,0.03
29,0.53,0.02
30,0.55,0.0
31,0.6,0.01
32,0.43,0.0
33,0.48,0.01
34,0.46,0.0
35,0.48,0.0
36,0.52,0.0
37,0.55,0.01
38,0.46,0.0
39,0.51,0.0
