proba_0,proba_1,generation
0.9966325,0.99889517,0
0.9976092,0.9968608,1
0.9968382,0.99408937,2
0.99382293,0.9935286,3
0.99032277,0.99226665,4
0.9923455,0.9912716,5
0.99174505,0.9920831,6
0.9909742,0.9905821,7
0.98884475,0.99208486,8
0.99217355,0.9939039,9
0.98860306,0.99456644,10
0.98763967,0.99149144,11
0.9925627,0.9945027,12
0.9894469,0.99114305,13
0.9911149,0.9918733,14
0.99107397,0.9924334,15
0.9849963,0.99153286,16
0.9896138,0.99017256,17
0.98809946,0.9905807,18
0.98608357,0.9922147,19
0.98665035,0.9926162,20
0.98233336,0.98782665,21
0.98655325,0.99133146,22
0.9898442,0.98845,23
0.9849594,0.9918432,24
0.98018223,0.98857105,25
0.98766494,0.9906988,26
0.97743124,0.98689085,27
0.9801269,0.98838013,28
0.9776376,0.9881291,29
0.9803678,0.9887007,30
0.9815309,0.9845783,31
0.9857768,0.9881552,32
0.9810547,0.9822611,33
0.9762039,0.9803444,34
0.97779053,0.9843266,35
0.9769848,0.98734707,36
0.97731066,0.9810875,37
0.9653038,0.98046976,38
0.9688018,0.9763126,39
0.99407125,0.99999815,0
0.9999987,0.99999815,0
0.99802,nan,1
0.9477142,nan,2
0.99779695,nan,3
0.9880541,nan,4
0.995146,nan,5
0.99943787,nan,6
0.9693973,nan,7
1.0,0.99704015,0
0.99912846,0.99914396,1
0.992573,0.9921093,2
0.99914914,0.9909257,3
0.99773955,0.96261543,4
0.9967875,0.9881789,5
0.99095756,0.9926568,6
0.9971999,0.9916109,7
0.998423,0.9959658,8
0.98736006,0.9999983,9
0.99257416,0.9967907,10
0.99975014,0.9968089,11
0.9888319,0.9937815,12
0.9962664,0.9565146,13
0.99831724,0.9806711,14
0.9981009,0.967458,15
0.9987892,0.975759,16
0.99966544,0.99911463,17
0.98569757,0.956216,18
0.9984351,0.94697875,19
0.99585783,0.99084526,20
0.99111795,0.9513148,21
0.9974801,0.95703644,22
0.9908513,0.94633126,23
0.99671423,0.99647874,24
0.9792548,0.9999652,25
0.9983402,0.98133594,26
0.999615,0.9964059,27
0.9923916,0.93387467,28
0.9951208,0.9756237,29
0.9960764,0.9955819,30
0.9976688,0.9656953,31
0.9921325,0.9973354,32
0.998675,0.87970006,33
0.99745595,0.65609306,34
0.9981553,0.98008156,35
0.9970396,0.9412092,36
0.9998011,0.9419866,37
0.99992645,0.9162679,38
0.99526125,0.9805093,39
