proba_0,proba_1,generation
0.9961223,0.99850285,0
0.9944173,0.99132377,1
0.98559076,0.99634784,2
0.9895339,0.99433273,3
0.9803646,0.98957604,4
0.9888613,0.99448484,5
0.9891568,0.9955234,6
0.991676,0.9901768,7
0.9928751,0.9902064,8
0.98257804,0.9942537,9
0.98984194,0.9934155,10
0.98751694,0.9893266,11
0.98639274,0.99298483,12
0.98868847,0.99485886,13
0.9880691,0.9938292,14
0.98572445,0.9918514,15
0.98231703,0.9867814,16
0.98536706,0.98567826,17
0.9846803,0.990039,18
0.98869145,0.9875705,19
0.9861861,0.9872254,20
0.9843742,0.99087584,21
0.98493004,0.98725724,22
0.98305964,0.9870252,23
0.98988193,0.98529905,24
0.9894566,0.98746836,25
0.98878956,0.98317224,26
0.9818525,0.9880445,27
0.97955346,0.99011344,28
0.9794811,0.981167,29
0.9794074,0.98799276,30
0.9743456,0.9897878,31
0.98196954,0.9887228,32
0.9682818,0.9859217,33
0.97596157,0.9874051,34
0.97954863,0.9865252,35
0.99011636,0.99077886,36
0.9815966,0.9895953,37
0.98406845,0.98859435,38
0.9847507,0.98993313,39
0.99759436,0.99843,0
0.99718773,0.9999433,0
0.9999972,0.9999998,0
1.0,nan,1
1.0,nan,2
1.0,nan,3
1.0,nan,4
0.9998897,0.99820936,0
0.997111,0.99906594,1
0.98483837,0.9946312,2
0.999829,0.9904487,3
0.9971937,0.98806196,4
0.99556315,0.9990443,5
0.98678213,0.98511326,6
0.99749756,0.98841864,7
0.9961619,0.986317,8
0.9998746,0.9916846,9
0.99997014,0.9891764,10
0.989381,0.9989269,11
0.99838126,0.9957938,12
0.9881971,0.9919655,13
0.9811843,0.99702966,14
0.9985129,0.99958,15
0.9998919,0.98165303,16
0.9957198,0.9906963,17
0.989087,0.99513525,18
0.9884021,0.9827564,19
0.9999207,0.9959889,20
0.9901337,0.9891114,21
0.9917523,0.9872169,22
0.977212,0.99977875,23
0.9909408,0.99681836,24
0.99968207,0.99916285,25
0.98874146,0.9885691,26
0.98851794,0.9895268,27
0.982288,0.9885817,28
0.99198186,0.9886846,29
0.9997529,0.98539585,30
0.98408717,0.9903929,31
0.9909743,0.9949508,32
0.99146265,0.9982482,33
0.99187934,0.99754125,34
0.99767286,0.9921113,35
0.99435747,0.99817014,36
0.9949428,0.9978905,37
0.98947525,0.9891293,38
0.9903328,0.991069,39
