generation,label_bal,color_bal
0,0.575,0.512
1,0.632,0.549
2,0.692,0.546
3,0.648,0.555
4,0.72,0.548
5,0.675,0.572
6,0.756,0.579
7,0.76,0.565
8,0.782,0.565
9,0.834,0.542
10,0.842,0.501
11,0.883,0.507
12,0.916,0.51
13,0.94,0.52
14,0.947,0.526
15,0.941,0.53
16,0.952,0.533
17,0.937,0.549
18,0.953,0.539
19,0.943,0.515
20,0.95,0.523
21,0.944,0.538
22,0.962,0.521
23,0.921,0.532
24,0.925,0.519
25,0.928,0.506
26,0.888,0.56
27,0.923,0.536
28,0.884,0.536
29,0.904,0.541
30,0.922,0.525
31,0.917,0.551
32,0.941,0.55
33,0.946,0.529
34,0.97,0.505
35,0.931,0.539
36,0.939,0.54
37,0.948,0.557
38,0.973,0.528
39,0.928,0.538
0,0.484,0.514
0,0.52,0.43
0,0.59,0.49
1,1.0,0.0
2,1.0,0.0
3,1.0,0.0
4,1.0,0.0
0,0.54,0.5
1,0.53,0.47
2,0.48,0.51
3,0.54,0.41
4,0.5,0.44
5,0.44,0.57
6,0.58,0.56
7,0.47,0.53
8,0.43,0.55
9,0.44,0.55
10,0.46,0.49
11,0.32,0.59
12,0.34,0.58
13,0.36,0.52
14,0.2,0.59
15,0.33,0.49
16,0.29,0.42
17,0.33,0.48
18,0.31,0.48
19,0.32,0.51
20,0.25,0.47
21,0.29,0.43
22,0.23,0.54
23,0.28,0.53
24,0.2,0.5
25,0.38,0.33
26,0.27,0.53
27,0.34,0.49
28,0.35,0.47
29,0.29,0.46
30,0.44,0.46
31,0.3,0.48
32,0.28,0.52
33,0.31,0.52
34,0.33,0.43
35,0.33,0.47
36,0.23,0.54
37,0.37,0.4
38,0.4,0.44
39,0.37,0.51
