proba_0,proba_1,generation
0.9993362,0.99962264,0
0.999278,0.9961326,1
0.99909395,0.99808925,2
0.9969111,0.99861443,0
0.9975106,0.99807835,1
0.9984166,0.99822474,2
0.9982348,0.9983511,3
0.9979284,0.9993252,4
0.9997864,0.99625903,5
0.99925005,0.997836,6
0.99990267,0.9992579,7
0.9968171,0.99757975,8
0.9986686,0.9992405,9
0.99913484,0.99871373,10
0.9983002,0.99808335,11
0.9983725,0.9994208,12
0.99793315,0.9955862,13
0.9986537,0.9990941,14
0.99812734,0.9981531,15
0.9987807,0.9984993,16
0.9994857,0.99769586,17
0.9989738,0.99628204,18
0.99795425,0.99932396,19
0.99939394,0.99984914,20
0.999599,0.9981682,21
0.99694276,0.9983188,22
0.99857885,0.9982375,23
0.99900377,0.99987364,24
0.9992204,0.9980386,25
0.99788964,0.9976772,26
0.99873084,0.999259,27
0.99815995,0.9976583,28
0.9983237,0.99853176,29
0.9972288,0.9972134,30
0.99845,0.99709857,0
0.9975162,0.99869674,1
0.9990649,0.9980013,2
0.9972977,0.99860567,3
0.9983068,0.9963478,4
0.99621487,0.9988655,5
0.99819446,0.9987525,6
0.99737513,0.9987749,7
0.9986321,0.99745095,8
0.99789023,0.9971002,9
0.99635965,0.9992794,10
0.9993108,0.9975708,11
0.99795794,0.99928856,12
0.9985652,0.9983337,13
0.998107,0.99848807,14
0.99914014,0.9983232,15
0.9961597,0.9969254,16
0.9972696,0.9983205,17
0.99783874,0.99869376,18
0.9972837,0.99743253,19
0.99766237,0.9993257,20
0.9984256,0.9976734,21
0.99916357,0.99834573,22
0.9967328,0.9987126,23
0.9973315,0.9966443,24
0.99762833,0.9988227,25
0.99699587,0.99838656,26
0.99554676,0.99890983,27
0.9984328,0.9979513,28
0.99934936,0.99748826,29
0.9991085,0.9990571,30
0.9990212,0.997612,31
0.9959378,0.9980392,32
0.99897337,0.99650145,33
0.99861974,0.9988305,34
0.9982327,0.99587274,35
0.99898547,0.9962128,36
0.9979746,0.9979073,37
0.9978967,0.9983578,38
0.9993268,0.99752635,39
0.99883014,0.9986541,40
0.9999774,0.99999946,0
0.9999958,0.9999856,0
0.9999069,1.0,1
0.99902767,0.99999845,2
1.0,0.9998482,3
0.9999963,0.99929595,4
0.9999979,0.9955029,5
0.9999997,0.9957639,6
1.0,0.99854946,7
1.0,1.0,8
1.0,1.0,9
0.9958703,1.0,10
0.9999967,0.99915504,11
1.0,0.9967751,12
0.9999645,0.9998459,13
0.9997297,0.9999884,14
0.99970835,1.0,15
0.99243474,0.9999971,16
0.9987935,1.0,17
1.0,0.99993044,18
0.99943584,0.999995,19
0.9999998,0.99999934,20
0.9999999,0.99989074,21
0.99998766,0.9999994,22
0.9999979,1.0,23
0.9999995,0.99973243,24
0.9999999,1.0,25
0.99999917,1.0,26
1.0,1.0,27
1.0,0.9999995,28
0.99999297,1.0,29
0.99999917,1.0,30
0.999894,0.9996164,31
0.99989957,0.9999999,32
0.9994193,0.9999035,33
1.0,1.0,34
1.0,1.0,35
0.9999921,0.9999983,36
0.99497414,1.0,37
1.0,0.99996275,38
0.9999943,0.99998504,39
0.9999994,0.99722785,40
0.9996781,0.99232346,0
0.9994099,0.9949487,1
0.99996084,0.9999346,2
0.9999989,0.9994023,3
0.9999309,0.99981135,4
1.0,0.99999994,5
0.9999727,0.9992368,6
0.9995718,0.99858403,7
0.99990606,0.9999866,8
0.99990755,1.0,9
1.0,0.997729,10
0.9938501,0.9999913,0
1.0,1.0,1
0.99996626,0.9921062,2
0.9999942,0.9999861,3
0.9999996,0.9999939,4
1.0,0.99993545,5
0.99902445,0.9999989,6
1.0,0.999894,7
0.9999522,0.9983555,8
0.99141437,0.9997745,9
0.99956685,0.9903024,10
0.9998501,0.9999919,11
1.0,0.99998623,12
0.9999994,0.999999,13
1.0,1.0,14
0.9952545,1.0,15
1.0,0.999993,16
0.9995047,1.0,17
0.99925417,0.99694395,18
0.9943789,0.9995283,19
1.0,1.0,20
0.9999944,1.0,21
1.0,0.99519706,22
0.99257815,0.99663925,23
0.99028546,0.9999153,24
0.9999607,0.99940354,25
0.99984765,0.99793327,26
0.9918451,0.99993026,27
0.9941572,0.9963808,28
0.9999988,1.0,29
0.9999917,0.9999825,30
1.0,0.9999996,31
0.99963796,0.99550587,32
0.99999464,1.0,33
0.998016,0.9999982,34
0.9946623,0.9999195,35
0.9999993,1.0,36
0.99681073,0.9882296,37
1.0,0.9990646,38
1.0,1.0,39
0.9999997,0.99999994,40
