generation,label_bal,color_bal
0,0.527,0.507
1,0.528,0.506
2,0.527,0.509
0,0.483,0.47
1,0.545,0.496
2,0.553,0.491
3,0.527,0.504
4,0.579,0.452
5,0.551,0.485
6,0.579,0.462
7,0.556,0.481
8,0.535,0.498
9,0.538,0.502
10,0.559,0.485
11,0.558,0.479
12,0.552,0.478
13,0.571,0.47
14,0.521,0.51
15,0.528,0.504
16,0.538,0.49
17,0.557,0.465
18,0.559,0.462
19,0.552,0.486
20,0.568,0.459
21,0.552,0.477
22,0.534,0.491
23,0.555,0.479
24,0.554,0.482
25,0.564,0.488
26,0.545,0.495
27,0.537,0.502
28,0.554,0.494
29,0.546,0.505
30,0.556,0.506
0,0.581,0.52
1,0.609,0.507
2,0.594,0.5
3,0.481,0.537
4,0.543,0.505
5,0.425,0.501
6,0.478,0.517
7,0.471,0.498
8,0.449,0.528
9,0.444,0.532
10,0.483,0.529
11,0.505,0.483
12,0.54,0.536
13,0.552,0.495
14,0.469,0.514
15,0.485,0.498
16,0.481,0.523
17,0.138,0.528
18,0.183,0.513
19,0.191,0.52
20,0.198,0.519
21,0.178,0.524
22,0.154,0.523
23,0.158,0.531
24,0.193,0.529
25,0.161,0.509
26,0.19,0.528
27,0.201,0.501
28,0.184,0.518
29,0.23,0.52
30,0.225,0.538
31,0.223,0.481
32,0.263,0.523
33,0.296,0.503
34,0.298,0.499
35,0.3,0.505
36,0.34,0.505
37,0.344,0.502
38,0.356,0.506
39,0.372,0.486
40,0.362,0.513
0,0.54,0.48
0,0.56,0.5
1,0.55,0.45
2,0.66,0.45
3,0.61,0.35
4,0.62,0.32
5,0.54,0.35
6,0.59,0.39
7,0.48,0.49
8,0.44,0.42
9,0.51,0.42
10,0.52,0.43
11,0.47,0.41
12,0.56,0.39
13,0.45,0.43
14,0.44,0.4
15,0.43,0.4
16,0.51,0.42
17,0.48,0.4
18,0.52,0.43
19,0.62,0.45
20,0.51,0.56
21,0.57,0.48
22,0.5,0.44
23,0.54,0.43
24,0.42,0.49
25,0.46,0.39
26,0.5,0.41
27,0.54,0.38
28,0.46,0.49
29,0.53,0.48
30,0.55,0.41
31,0.44,0.47
32,0.54,0.39
33,0.54,0.44
34,0.51,0.46
35,0.47,0.45
36,0.59,0.44
37,0.58,0.33
38,0.6,0.3
39,0.52,0.48
40,0.52,0.47
0,0.6,0.48
1,0.65,0.41
2,0.57,0.43
3,0.56,0.5
4,0.55,0.48
5,0.56,0.44
6,0.55,0.5
7,0.61,0.48
8,0.65,0.47
9,0.74,0.42
10,0.68,0.39
0,0.43,0.47
1,0.42,0.5
2,0.46,0.5
3,0.49,0.51
4,0.55,0.44
5,0.55,0.42
6,0.42,0.54
7,0.54,0.45
8,0.56,0.46
9,0.54,0.47
10,0.57,0.42
11,0.51,0.46
12,0.43,0.49
13,0.36,0.54
14,0.46,0.46
15,0.49,0.4
16,0.42,0.52
17,0.49,0.42
18,0.54,0.4
19,0.41,0.47
20,0.37,0.48
21,0.48,0.38
22,0.42,0.47
23,0.51,0.42
24,0.36,0.51
25,0.34,0.52
26,0.43,0.49
27,0.41,0.42
28,0.47,0.41
29,0.29,0.49
30,0.38,0.44
31,0.37,0.39
32,0.41,0.47
33,0.27,0.56
34,0.39,0.55
35,0.34,0.52
36,0.33,0.45
37,0.45,0.37
38,0.39,0.45
39,0.34,0.49
40,0.25,0.48
