proba_0,proba_1,generation
0.9992325,0.9981834,0
0.99309593,0.99393237,1
0.9973574,0.99135935,2
0.99334043,0.9918845,3
0.9961251,0.98666006,4
0.9922145,0.98918796,5
0.991108,0.9853988,6
0.99137986,0.98569435,7
0.99243474,0.98844135,8
0.9944091,0.9736061,9
0.98986703,0.97986335,10
0.9933871,0.9831614,11
0.98900056,0.9785618,12
0.9930268,0.9789207,13
0.99174124,0.9838718,14
0.99424934,0.98355234,15
0.9901137,0.9825607,16
0.9889263,0.96695244,17
0.99158233,0.9746582,18
0.99185103,0.9754044,19
0.99328303,0.9707517,20
0.9921803,0.96499383,21
0.99119645,0.97764,22
0.99114305,0.9675584,23
0.9924379,0.9614547,24
0.99217945,0.96839833,25
0.9908245,0.95280695,26
0.98890775,0.9529236,27
0.99199957,0.939538,28
0.9899732,0.9427544,29
0.99024045,0.959749,30
0.98840934,0.92914283,31
0.99150765,0.94773424,32
0.9919595,0.95900995,33
0.9924243,0.9459559,34
0.9886891,0.9342717,35
0.9917699,0.9259487,36
0.9914232,0.9419272,37
0.9942922,0.9408905,38
0.9919433,0.91474056,39
0.9987365,0.9970647,0
0.99425536,0.9956027,1
0.9904927,0.9942998,2
0.9831514,0.9893113,3
0.9804816,0.987187,4
0.9891157,0.9816252,5
0.98440325,0.9862262,6
0.9835377,0.98695034,7
0.9824373,0.9796558,8
0.980114,0.98271537,9
0.97856504,0.98413503,10
0.9723511,0.9816393,11
0.9765961,0.97728443,12
0.98124015,0.9799488,13
0.97529835,0.97348166,14
0.98051196,0.9799724,15
0.97777444,0.9833903,16
0.9726042,0.9774053,17
0.9742636,0.9753606,18
0.9732606,0.98127604,19
0.9748913,0.98247653,20
0.9685429,0.97686267,21
0.97138095,0.9779467,22
0.96412057,0.97579783,23
0.96650225,0.97827125,24
0.9549776,0.97221655,25
0.97076356,0.9754059,26
0.9687895,0.9756389,27
0.9614754,0.97427595,28
0.9526022,0.9714806,29
0.9477181,0.9697098,30
0.95962244,0.97604996,31
0.9441963,0.9796696,32
0.95617735,0.9737382,33
0.9401319,0.9745309,34
0.94867235,0.9787949,35
0.9249031,0.97357094,36
0.9160939,0.9760482,37
0.91513246,0.97175604,38
0.89923996,0.9705233,39
0.99999994,1.0,0
1.0,nan,1
1.0,nan,2
1.0,nan,3
1.0,nan,4
1.0,nan,5
0.9970694,0.99083674,0
0.998908,0.9999807,1
0.99998915,0.99260235,2
0.98759544,0.9876137,3
0.99708503,0.9921239,4
0.9865176,0.99966407,5
0.9939111,0.96172065,6
0.99398553,0.9865995,7
0.9841321,0.99822897,8
0.9987995,0.998318,9
0.9882911,0.98202044,10
0.9899327,0.98599285,11
0.98747176,0.9815017,12
0.99380076,0.98452944,13
0.98938537,0.9675389,14
0.9933865,0.98113734,15
0.99589527,0.99557984,16
0.9830154,0.97821355,17
0.99914163,0.9794695,18
0.992934,0.99044687,19
0.980961,0.9932738,20
0.98807997,0.9762867,21
0.99848443,0.95886767,22
0.9916413,0.97710264,23
0.9991601,0.9775002,24
0.9809765,0.98537076,25
0.9790629,0.972166,26
0.98177373,0.96087873,27
0.9979934,0.9805714,28
0.98530054,0.95373464,29
0.9880565,0.9678636,30
0.98893905,0.98774683,31
0.96911585,0.9535935,32
0.9773087,0.98326683,33
0.98572475,0.9725046,34
0.9820557,0.96908504,35
0.98626107,0.97499067,36
0.97793156,0.9873031,37
0.97304523,0.9634396,38
0.97827387,0.9706591,39
