generation,epoch,gen_loss
22,0,14173.28115777573
22,1,968.5756897121886
22,2,791.185978598
22,3,754.6517526491347
22,4,737.2628436473296
22,5,734.317108975063
22,6,720.9584923629948
22,7,718.3693325350512
22,8,719.3764008239896
22,9,712.2169595359298
22,10,716.9942916459734
22,11,710.921969164263
22,12,709.5013684410337
22,13,712.533297886184
22,14,705.0024536431273
22,15,704.515551429506
22,16,701.167819370559
22,17,711.0925369076158
22,18,698.832414771642
22,19,702.7292120823942
23,0,12672.21003794029
23,1,881.2760047073177
23,2,765.0784380849824
23,3,735.9440131525539
23,4,730.0827520319185
23,5,715.6224515956887
23,6,714.3287232639154
23,7,708.8247907493983
23,8,702.8955972013963
23,9,719.5137852899603
23,10,702.3275322576023
23,11,707.4860642859871
23,12,700.80085914817
23,13,697.6402234215025
23,14,698.9486983842546
23,15,693.7491869938111
23,16,694.3992481185055
23,17,693.7727174642325
23,18,694.0747634402697
23,19,694.3213856144464
24,0,13406.77771205016
24,1,918.7387107345469
24,2,754.6878281572338
24,3,723.8067873182973
24,4,716.466198909545
24,5,716.5546334786636
24,6,704.6339181466324
24,7,699.585117330761
24,8,699.8268914630769
24,9,700.1199081159746
24,10,695.8907570687367
24,11,691.756753114733
24,12,693.0925636198235
24,13,688.9738941145993
24,14,688.3026749813761
24,15,691.6715634073197
24,16,686.5846539709562
24,17,684.1753113240659
24,18,684.9225744419984
24,19,686.8743353286408
25,0,13254.012014822738
25,1,919.2846015613062
25,2,753.913189950957
25,3,717.6466306206066
25,4,710.9989386747402
25,5,702.5106805554229
25,6,693.0722977094954
25,7,694.5502379028022
25,8,689.2477833344476
25,9,686.9739479867054
25,10,690.2840313526704
25,11,686.3991958879317
25,12,680.6859165182324
25,13,688.337860928188
25,14,678.7414407520248
25,15,682.0109300683355
25,16,681.2862363782664
25,17,679.7934834449974
25,18,675.7446532307744
25,19,674.6185368395668
26,0,12658.934547629508
26,1,852.0760136909764
26,2,741.795369117942
26,3,703.6513976304631
26,4,697.3238023977117
26,5,693.83854873023
26,6,695.4028565050046
26,7,688.208188977976
26,8,681.9807994441474
26,9,684.1245643970144
26,10,684.8921758003514
26,11,679.4494370737985
26,12,681.3671267633042
26,13,673.6363237376318
26,14,677.9210936306158
26,15,676.0675581579978
26,16,675.5436483443804
26,17,672.4176699911178
26,18,670.9958126002826
26,19,669.9943031366996
27,0,12197.78917591496
27,1,879.7007138874828
27,2,738.2665238135602
27,3,703.3677959115697
27,4,694.2652343153079
27,5,687.2272822373071
27,6,687.5464438739208
27,7,681.0443653955437
27,8,685.6706399707748
27,9,673.1131218721348
27,10,682.3419489405849
27,11,675.1406818567103
27,12,671.8973191687996
27,13,674.0850024234986
27,14,672.9034325336186
27,15,672.7640482335919
27,16,669.1455275108879
27,17,663.6293460314315
27,18,665.5128006690289
27,19,664.0599614448827
28,0,11178.333564291956
28,1,816.7835896312462
28,2,714.804936565222
28,3,694.5532733945217
28,4,683.888526077084
28,5,672.3425715290247
28,6,673.3102343869384
28,7,668.4338295337332
28,8,673.1987941900501
28,9,667.9797524449878
28,10,665.1433168145438
28,11,660.6254535106109
28,12,662.6147662398284
28,13,661.5231588871962
28,14,657.9087146861629
28,15,659.4998248037324
28,16,655.5264461302816
28,17,656.0648538081163
28,18,652.7754224110349
28,19,656.4045789200985
29,0,12911.745160464261
29,1,845.5030816038546
29,2,716.3443576654187
29,3,689.7279464609757
29,4,677.9339490671321
29,5,663.9342891627826
29,6,666.3793397637626
29,7,665.1894191005119
29,8,655.6967589884341
29,9,662.4416823258902
29,10,659.6214686162897
29,11,652.977123605593
29,12,656.769745693813
29,13,656.3543944417119
29,14,652.1493715318899
29,15,653.0013236719705
29,16,651.6128053548575
29,17,652.501785390243
29,18,645.3422618763371
29,19,647.1540715373816
30,0,13080.079621331324
30,1,827.3756357206984
30,2,710.6645367536102
30,3,686.9947927610216
30,4,673.7997376831353
30,5,660.2634471343024
30,6,664.9138993913795
30,7,661.3970701035777
30,8,649.7185600299415
30,9,655.1597488515243
30,10,648.4240307796264
30,11,644.314847988138
30,12,648.0901398227384
30,13,644.8371382062768
30,14,642.2079800556808
30,15,641.5677063435971
30,16,638.1538318736629
30,17,647.0413469160682
30,18,640.4366490893376
30,19,638.746448320981
31,0,12609.170485368277
31,1,851.9300817662172
31,2,717.7781606361743
31,3,685.9334927211472
31,4,664.0080508206468
