generation,label_bal,color_bal
0,0.548,0.456
1,0.558,0.495
2,0.552,0.543
3,0.586,0.58
4,0.588,0.576
5,0.604,0.58
6,0.594,0.604
7,0.583,0.615
8,0.579,0.615
9,0.605,0.62
10,0.615,0.609
11,0.657,0.613
12,0.642,0.612
13,0.635,0.644
14,0.647,0.623
15,0.633,0.664
16,0.629,0.656
17,0.623,0.68
18,0.595,0.718
19,0.649,0.69
20,0.641,0.688
21,0.637,0.682
22,0.652,0.668
23,0.635,0.71
24,0.644,0.696
25,0.658,0.717
26,0.627,0.743
27,0.602,0.745
28,0.658,0.743
29,0.658,0.776
30,0.642,0.789
31,0.624,0.815
32,0.653,0.811
33,0.635,0.832
34,0.658,0.829
35,0.691,0.811
36,0.694,0.838
37,0.675,0.846
38,0.683,0.849
39,0.659,0.833
0,0.56,0.493
1,0.599,0.553
2,0.547,0.673
3,0.545,0.692
4,0.528,0.754
5,0.561,0.751
6,0.576,0.769
7,0.608,0.78
8,0.56,0.808
9,0.66,0.811
10,0.608,0.837
11,0.617,0.831
12,0.57,0.851
13,0.556,0.855
14,0.572,0.876
15,0.522,0.881
0,0.721,0.478
1,0.705,0.501
2,0.653,0.544
3,0.62,0.6
4,0.584,0.631
5,0.595,0.692
0,0.613,0.487
1,0.673,0.535
2,0.659,0.504
3,0.69,0.526
4,0.714,0.575
5,0.713,0.573
6,0.73,0.581
7,0.683,0.584
8,0.672,0.586
9,0.657,0.587
10,0.679,0.614
11,0.715,0.596
12,0.702,0.614
13,0.69,0.597
14,0.693,0.596
15,0.674,0.62
16,0.68,0.631
17,0.647,0.661
18,0.661,0.642
19,0.663,0.653
20,0.652,0.658
21,0.669,0.702
22,0.689,0.718
23,0.683,0.728
24,0.658,0.735
25,0.632,0.757
26,0.647,0.746
27,0.651,0.751
28,0.682,0.784
29,0.617,0.758
30,0.646,0.789
31,0.614,0.815
32,0.609,0.827
33,0.613,0.848
34,0.563,0.852
35,0.564,0.843
36,0.598,0.886
37,0.597,0.858
38,0.577,0.828
39,0.615,0.867
0,0.7,0.45
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,1.0,1.0
5,1.0,1.0
0,0.54,0.47
1,0.72,0.32
2,0.74,0.35
3,0.71,0.39
4,0.73,0.33
5,0.77,0.33
6,0.78,0.32
7,0.85,0.22
8,0.85,0.26
9,0.78,0.36
10,0.83,0.22
11,0.77,0.33
12,0.88,0.24
13,0.85,0.28
14,0.83,0.32
15,0.84,0.31
16,0.87,0.24
17,0.85,0.25
18,0.89,0.25
19,0.83,0.3
20,0.92,0.18
21,0.86,0.27
22,0.86,0.27
23,0.9,0.21
24,0.93,0.3
25,0.96,0.15
26,0.89,0.25
27,0.88,0.2
28,0.92,0.13
29,0.95,0.17
30,0.97,0.14
31,0.94,0.15
32,0.96,0.12
33,0.97,0.13
34,0.97,0.11
35,0.96,0.13
36,0.96,0.17
37,0.92,0.09
38,0.97,0.13
39,0.95,0.13
