generation,label_bal,color_bal
0,0.64,0.439
0,0.642,0.448
0,0.642,0.448
1,0.693,0.391
2,0.701,0.438
0,1.0,0.0
1,1.0,0.0
0,0.6,0.453
1,0.655,0.439
2,0.65,0.441
3,0.644,0.441
4,0.634,0.416
5,0.672,0.433
6,0.608,0.455
7,0.641,0.463
8,0.646,0.438
9,0.622,0.46
10,0.618,0.429
11,0.615,0.465
12,0.623,0.459
13,0.588,0.46
14,0.61,0.429
15,0.604,0.439
16,0.604,0.434
17,0.61,0.459
18,0.616,0.422
19,0.593,0.441
20,0.613,0.447
21,0.619,0.432
22,0.629,0.443
23,0.651,0.425
24,0.624,0.445
25,0.643,0.416
26,0.644,0.441
27,0.665,0.389
28,0.643,0.406
29,0.649,0.406
30,0.637,0.437
31,0.633,0.419
32,0.643,0.425
33,0.588,0.446
34,0.619,0.426
35,0.586,0.451
36,0.616,0.434
37,0.598,0.448
38,0.596,0.455
39,0.605,0.437
40,0.615,0.436
0,0.78,0.454
1,0.735,0.444
2,0.767,0.429
3,0.71,0.451
4,0.769,0.457
5,0.762,0.481
6,0.774,0.464
7,0.782,0.448
8,0.78,0.447
9,0.785,0.429
10,0.776,0.436
11,0.797,0.434
12,0.797,0.435
13,0.797,0.452
14,0.823,0.443
15,0.793,0.478
16,0.814,0.455
17,0.836,0.448
18,0.843,0.439
19,0.849,0.455
20,0.882,0.437
21,0.889,0.423
22,0.868,0.472
23,0.849,0.462
24,0.869,0.415
25,0.87,0.419
26,0.834,0.447
27,0.862,0.459
28,0.858,0.459
29,0.874,0.452
30,0.859,0.42
31,0.866,0.43
32,0.874,0.485
33,0.869,0.438
34,0.886,0.431
35,0.864,0.461
0,0.6,0.46
1,0.64,0.43
2,0.61,0.55
3,0.58,0.5
4,0.6,0.52
5,0.72,0.44
6,0.59,0.45
7,0.61,0.49
8,0.6,0.46
9,0.73,0.45
10,0.74,0.4
11,0.72,0.43
12,0.82,0.4
13,0.74,0.44
14,0.69,0.43
15,0.74,0.46
16,0.71,0.44
17,0.73,0.47
18,0.76,0.45
19,0.75,0.44
20,0.72,0.38
21,0.69,0.47
22,0.77,0.39
23,0.76,0.37
24,0.75,0.39
25,0.71,0.47
26,0.78,0.4
27,0.78,0.41
28,0.77,0.49
29,0.76,0.44
30,0.75,0.45
31,0.8,0.46
32,0.75,0.46
33,0.77,0.47
34,0.8,0.46
35,0.73,0.43
36,0.86,0.39
37,0.91,0.43
38,0.83,0.45
39,0.87,0.42
40,0.8,0.43
0,0.63,0.46
0,0.66,0.42
1,0.63,0.42
2,0.63,0.46
3,0.71,0.4
4,0.7,0.38
5,0.79,0.38
6,0.71,0.47
7,0.74,0.39
0,0.6,0.4
1,0.64,0.43
2,0.67,0.45
3,0.66,0.38
4,0.7,0.36
5,0.75,0.36
6,0.73,0.46
7,0.8,0.39
8,0.77,0.34
9,0.75,0.41
10,0.79,0.45
11,0.79,0.4
12,0.71,0.38
13,0.68,0.43
14,0.78,0.45
15,0.82,0.38
16,0.75,0.42
17,0.72,0.4
18,0.76,0.47
19,0.79,0.44
20,0.84,0.33
21,0.78,0.44
22,0.86,0.36
23,0.81,0.45
24,0.8,0.44
25,0.79,0.4
26,0.85,0.44
27,0.85,0.43
28,0.88,0.43
29,0.84,0.45
30,0.81,0.47
31,0.87,0.43
32,0.86,0.41
33,0.93,0.4
34,0.88,0.38
35,0.85,0.44
36,0.92,0.43
37,0.89,0.43
38,0.86,0.46
39,0.89,0.42
40,0.84,0.43
