proba_0,proba_1,generation
0.9997406,0.9981492,0
0.9981481,0.9985097,0
0.9997361,0.99964803,1
0.99991643,0.99908155,2
nan,0.99981356,0
nan,0.99981254,1
0.99795127,0.997842,0
0.998195,0.99700165,1
0.99893814,0.9960774,2
0.9978746,0.99740034,3
0.9959452,0.99835664,4
0.9970942,0.99783456,5
0.9981447,0.9978582,6
0.9984152,0.9972543,7
0.9979,0.9990728,8
0.9979498,0.9983109,9
0.9964003,0.99772084,10
0.99843484,0.99713916,11
0.99891233,0.999851,12
0.9975303,0.9968806,13
0.9993812,0.99781907,14
0.99801975,0.99920267,15
0.99800617,0.9990782,16
0.99733675,0.9995389,17
0.99633056,0.999599,18
0.9981341,0.99766994,19
0.9981002,0.9995369,20
0.9974327,0.99868417,21
0.99863803,0.99941605,22
0.9991363,0.9965007,23
0.997638,0.99832785,24
0.99822783,0.999143,25
0.99758184,0.9981625,26
0.99887973,0.99913615,27
0.9960618,0.997215,28
0.99667186,0.9983456,29
0.9975872,0.99760944,30
0.99803334,0.99756306,31
0.9984254,0.9970377,32
0.9980629,0.99697554,33
0.99735594,0.99887717,34
0.9970606,0.9975391,35
0.9938995,0.9980573,36
0.996165,0.99943274,37
0.9985103,0.9975446,38
0.9975169,0.9976482,39
0.9983159,0.9977976,40
0.9986813,0.9992898,0
0.9981763,0.9993997,1
0.9997508,0.9986105,2
0.9991681,0.9978905,3
0.9979833,0.9999963,4
0.9983934,0.9979969,5
0.99827874,0.9982789,6
0.99842274,0.99819565,7
0.9988976,0.9983981,8
0.9977211,0.99889064,9
0.9995081,0.9996925,10
0.99994296,0.996674,11
0.9996472,0.9994941,12
0.9985203,0.99707353,13
0.99811983,0.9968069,14
0.99995404,0.9999355,15
0.99755615,0.9998697,16
0.99996364,0.9983894,17
0.99949217,0.9990482,18
0.9995972,0.9988151,19
0.99819785,0.99991083,20
0.9966424,0.9976078,21
0.99894,0.99895144,22
0.99974066,0.9999474,23
0.9996212,0.9995993,24
0.99882025,0.99839085,25
0.9990411,0.9999746,26
0.99905896,0.99809337,27
0.9988857,0.99968046,28
0.9993922,0.9991321,29
0.9992777,0.9985421,30
0.9988079,0.99991435,31
0.9984439,0.997527,32
0.99981797,0.99890673,33
0.9993041,0.9981021,34
0.99990666,0.9985879,35
0.99877113,0.99757224,36
0.99916387,0.9996833,37
0.99957937,0.99995255,0
0.99854773,1.0,1
1.0,0.99999624,2
1.0,1.0,3
0.99999994,0.9996986,4
0.99496937,0.99938905,5
0.9946168,0.9999997,6
1.0,1.0,7
0.9999991,0.99669784,0
1.0,0.999996,1
0.99947476,1.0,2
0.9999988,0.9999998,3
0.9999956,1.0,4
1.0,0.9999989,5
1.0,1.0,6
0.99999905,1.0,7
1.0,0.9964062,8
1.0,0.99999994,9
0.9998115,0.99999946,10
0.9927945,1.0,11
0.99457127,0.9999972,12
1.0,1.0,13
0.99999464,1.0,14
0.99986225,0.9999121,15
0.9998769,0.99335796,16
0.99999994,1.0,17
0.9973646,0.9971288,18
0.99985015,0.9999914,19
1.0,0.9984465,20
1.0,0.99999833,21
1.0,1.0,22
0.9980557,1.0,23
0.99999714,0.9999993,24
1.0,1.0,25
1.0,1.0,26
1.0,0.9999523,27
0.9992158,0.9999998,28
0.99999976,0.999737,29
0.9980966,0.9996477,30
0.9999999,0.99985516,31
0.99951226,1.0,32
0.9999951,0.99991757,33
0.9999998,1.0,34
0.9952531,0.9999998,35
0.99999756,0.9999103,36
0.9999633,1.0,37
0.9999615,1.0,38
0.99992806,0.9999998,39
1.0,1.0,40
