proba_0,proba_1,generation
0.9999998,0.99983144,0
0.98967844,0.99999756,1
0.99695283,0.99989647,1
0.999082,0.99999994,2
0.9976001,0.9962359,3
0.99416786,0.99359775,4
0.989654,0.97840166,5
0.99989134,0.9867243,6
0.9950242,0.99136657,7
0.9981213,0.9992274,8
0.9978697,0.98603123,9
0.99093866,0.97536427,10
0.99293,0.98997635,11
0.9974936,0.9805545,12
0.998243,0.9810037,13
0.99262005,0.99237674,14
0.992796,0.98968613,15
0.980726,0.99596745,16
0.97713685,0.97772187,17
0.99500567,0.99230075,18
0.9881241,0.9649844,19
0.9757078,0.98748416,20
0.99132496,0.98708165,21
0.99481636,0.97629476,22
0.9896498,0.97325206,23
0.9959686,0.9916782,24
0.99815094,0.9870289,24
0.9929478,0.9941885,25
0.98982424,0.9803395,26
0.98035914,0.98807466,27
0.985415,0.9813373,28
0.99746937,0.97013783,29
0.9782389,0.97611105,30
0.989821,0.99233866,31
0.99270606,0.9944174,32
0.96661437,0.9862058,32
0.98871195,0.9822514,33
0.97089875,0.99502975,34
0.9899217,0.9853344,35
0.97925556,0.97034115,36
0.98994416,0.97347456,37
0.9921655,0.9862495,38
0.9753663,0.9734945,39
