generation,label_bal,color_bal
0,0.6,0.43
1,0.55,0.48
1,0.65,0.35
2,0.59,0.33
3,0.6,0.28
4,0.67,0.24
5,0.7,0.27
6,0.77,0.16
7,0.77,0.17
8,0.84,0.09
9,0.8,0.08
10,0.9,0.08
11,0.81,0.11
12,0.9,0.03
13,0.89,0.03
14,0.81,0.03
15,0.85,0.07
16,0.86,0.03
17,0.91,0.01
18,0.93,0.0
19,0.95,0.01
20,0.97,0.0
21,0.95,0.02
22,0.92,0.01
23,0.94,0.01
24,0.95,0.0
24,0.97,0.0
25,0.97,0.0
26,0.96,0.0
27,0.99,0.0
28,0.95,0.0
29,0.96,0.0
30,0.99,0.0
31,0.99,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,0.99,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
39,1.0,0.0
