proba_0,proba_1,generation
0.9018621,0.85470724,0
0.9521,0.7398262,0
0.9521,0.7398262,0
0.9521,0.7398262,0
0.9521,0.7398262,0
0.9521,0.7398262,0
0.9521,0.7398262,0
0.9021216,0.8768657,1
0.9521,0.7398262,0
0.90212345,0.7674229,1
0.9521,0.7398262,0
0.90212345,0.7674229,1
0.9521,0.7398262,0
0.90212345,0.7674229,1
0.9521,0.7398262,0
0.90212345,0.7674229,1
0.9521,0.7398262,0
0.90212345,0.7674229,1
0.9521,0.7398262,0
0.90212345,0.7674229,1
0.9521,0.7398262,0
0.9521,0.7398262,0
0.90212345,0.7674229,1
0.90212345,0.7674229,1
0.9521,0.7398262,0
0.90212345,0.7674229,1
0.95679885,0.9046794,2
0.918214,0.8405223,3
0.945886,0.83367807,4
0.92174596,0.84923863,5
0.9240606,0.87155056,6
0.9276294,0.80246866,7
0.93083966,0.8965149,8
0.9214174,0.80203366,9
