proba_0,proba_1,generation
0.96387786,0.899615,0
0.96387786,0.899615,0
0.96387786,0.899615,0
nan,0.54215974,1
nan,0.54212713,1
nan,nan,2
nan,nan,2
nan,nan,3
nan,nan,3
nan,nan,3
nan,nan,4
nan,0.59619844,5
nan,0.5270257,6
0.93842447,0.8565197,0
0.94712895,0.9103689,1
0.9424904,0.7724099,2
0.946051,nan,3
0.9593612,nan,4
0.9565824,nan,5
0.9654399,nan,6
0.9637689,nan,7
0.96824867,nan,8
0.97615194,nan,9
0.9796537,nan,10
0.97955644,nan,11
0.97626686,nan,11
0.9787235,nan,12
0.9759273,nan,13
0.97587293,nan,14
0.974735,nan,15
0.9777759,nan,16
0.9758478,nan,17
