generation,label_bal,color_bal
0,0.4,0.22
0,0.4,0.22
1,0.0,1.0
1,0.0,1.0
2,0.0,1.0
2,0.0,1.0
2,0.0,1.0
3,0.0,1.0
3,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,0.0,1.0
0,0.2,0.28
0,0.34,0.26
0,0.34,0.26
0,0.34,0.26
1,0.1,0.15
2,0.08,0.11
3,0.01,0.08
4,0.0,0.03
5,0.0,0.0
6,0.0,0.01
7,0.01,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
10,0.0,0.0
10,0.0,0.0
10,0.0,0.0
11,0.0,0.0
11,0.0,0.0
11,0.0,0.0
11,0.0,0.0
11,0.0,0.0
11,0.0,0.0
11,0.0,0.0
11,0.0,0.0
11,0.0,0.0
11,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
13,0.0,0.0
13,0.0,0.0
13,0.0,0.0
13,0.0,0.0
13,0.0,0.0
14,0.0,0.0
14,0.0,0.0
