generation,label_bal,color_bal
0,0.626,0.521
1,0.677,0.478
2,0.731,0.501
3,0.748,0.504
4,0.767,0.517
5,0.814,0.497
6,0.832,0.516
7,0.882,0.472
8,0.911,0.499
9,0.897,0.517
10,0.923,0.511
11,0.936,0.488
12,0.94,0.49
13,0.974,0.491
14,0.971,0.492
15,0.978,0.495
16,0.97,0.523
17,0.976,0.507
18,0.974,0.497
19,0.97,0.506
20,0.961,0.492
21,0.972,0.492
22,0.982,0.493
23,0.986,0.504
24,0.978,0.502
25,0.982,0.481
26,0.991,0.487
27,0.981,0.533
28,0.983,0.498
29,0.987,0.521
30,0.992,0.508
31,0.987,0.513
32,0.991,0.496
33,0.991,0.479
34,0.994,0.475
35,0.993,0.487
36,0.998,0.465
37,0.999,0.484
38,1.0,0.481
39,1.0,0.477
