proba_0,proba_1,generation
0.9936572,0.9954384,0
0.988412,0.9880896,1
0.9841785,0.9843921,2
0.9862824,0.9829743,3
0.9787216,0.98554665,4
0.9844132,0.9780207,5
0.98019314,0.9774361,6
0.9650024,0.9779978,7
0.96511465,0.97191495,8
0.9785204,0.97562724,9
0.9709292,0.9691442,10
0.97266334,0.9688463,11
0.96522754,0.9696221,12
0.96187454,0.96854115,13
0.96306497,0.96433586,14
0.97336984,0.9714806,15
0.9711887,0.9670583,16
0.96940434,0.96698487,17
0.97366095,0.965425,18
0.9700322,0.96551335,19
0.95580053,0.9611299,20
0.9649645,0.96937096,21
0.96541065,0.9638228,22
0.9660027,0.96649134,23
0.9657874,0.9636565,24
0.9647352,0.96641684,25
0.96252656,0.96254426,26
0.96187145,0.96238285,27
0.9685238,0.9663122,28
0.9688121,0.95247,29
0.9687847,0.9559879,30
0.96485656,0.9542034,31
0.96512705,0.9609667,32
0.96172434,0.956773,33
0.9680905,0.94530916,34
0.95852536,0.95237947,35
0.96452993,0.9492921,36
0.95345086,0.9501706,37
0.9558655,0.9521428,38
0.9570824,0.94647276,39
