generation,label_bal,color_bal
0,0.625,0.521
1,0.651,0.478
2,0.702,0.496
3,0.734,0.495
4,0.772,0.49
5,0.783,0.47
6,0.821,0.479
7,0.865,0.473
8,0.893,0.471
9,0.891,0.476
10,0.917,0.497
11,0.927,0.473
12,0.955,0.48
13,0.985,0.477
14,0.98,0.472
15,0.985,0.466
16,0.985,0.465
17,0.982,0.498
18,0.978,0.486
19,0.979,0.476
20,0.987,0.483
21,0.979,0.494
22,0.988,0.492
23,0.986,0.491
24,0.994,0.495
25,0.985,0.475
26,0.992,0.477
27,0.984,0.519
28,0.985,0.485
29,0.993,0.483
30,0.994,0.455
31,0.993,0.487
32,0.988,0.499
33,0.993,0.472
34,0.991,0.469
35,0.991,0.485
36,0.998,0.466
37,0.996,0.5
38,0.997,0.495
39,1.0,0.489
