proba_0,proba_1,generation
0.99768424,0.995468,0
0.9928117,0.9933928,1
0.9882401,0.9897339,2
0.9853398,0.98854035,3
0.98350453,0.98696804,4
0.9843269,0.9815248,5
0.98430103,0.9832585,6
0.98060113,0.97897214,7
0.974088,0.97842646,8
0.9717249,0.9850357,9
0.9754566,0.9745774,10
0.9749446,0.97395474,11
0.97269833,0.97886145,12
0.96683854,0.9623687,13
0.9661258,0.9631291,14
0.96991944,0.9631225,15
0.9653299,0.9635592,16
0.9580604,0.9661664,17
0.949306,0.9608222,18
0.96135044,0.9526228,19
0.95774347,0.95201224,20
0.95336044,0.9565487,21
0.94964963,0.94835645,22
0.9373978,0.9397518,23
0.9440825,0.9381824,24
0.9273712,0.9473832,25
0.9329366,0.94304913,26
0.924184,0.9371785,27
0.9167761,0.9313122,28
0.8942224,0.9228125,29
0.90854126,0.9291948,30
0.8710548,0.9137826,31
0.875626,0.9062553,32
0.8515668,0.8786822,33
0.8455098,0.8862882,34
0.8276372,0.8604377,35
0.781449,0.82085603,36
0.69455093,0.76965195,37
nan,nan,38
nan,nan,39
