generation,label_bal,color_bal
0,0.471,0.486
1,0.519,0.525
2,0.521,0.504
3,0.499,0.509
4,0.517,0.531
5,0.529,0.514
6,0.496,0.548
7,0.48,0.535
8,0.452,0.531
9,0.489,0.513
10,0.483,0.484
11,0.505,0.503
12,0.532,0.501
13,0.487,0.523
14,0.503,0.533
15,0.519,0.538
16,0.507,0.546
17,0.502,0.505
18,0.497,0.533
19,0.513,0.536
20,0.526,0.509
21,0.492,0.543
22,0.498,0.526
23,0.495,0.521
24,0.481,0.51
25,0.51,0.525
26,0.498,0.512
27,0.514,0.498
28,0.525,0.533
29,0.495,0.514
30,0.492,0.518
31,0.473,0.55
32,0.508,0.5
33,0.484,0.505
34,0.506,0.536
35,0.501,0.552
36,0.481,0.544
37,0.531,0.513
38,0.52,0.52
39,0.511,0.515
