proba_0,proba_1,generation
0.9953458,0.99644214,0
0.9906853,0.9941681,1
0.991429,0.99193585,2
0.9869122,0.98346144,3
0.9913603,0.98823845,4
0.98813957,0.9896861,5
0.9909187,0.9892775,6
0.9884803,0.98775166,7
0.9831752,0.98875797,8
0.9831121,0.9863293,9
0.98556376,0.98796755,10
0.9897112,0.98743886,11
0.98407596,0.9881805,12
0.9863108,0.983478,13
0.9873453,0.9886825,14
0.9885317,0.9884074,15
0.9853043,0.9887765,16
0.98783845,0.986349,17
0.9849607,0.9898561,18
0.9895686,0.98974377,19
0.990764,0.98837364,20
0.98988485,0.9844583,21
0.98996097,0.98587745,22
0.98744303,0.9894853,23
0.98542213,0.98865265,24
0.9881946,0.9923913,25
0.9814876,0.98176163,26
0.9866004,0.9836703,27
0.98820156,0.98754907,28
0.9845025,0.98578936,29
0.9856409,0.98956,30
0.98591,0.9855459,31
0.9849345,0.9904173,32
0.98403627,0.98805386,33
0.9810969,0.9756261,34
0.98307645,0.9829786,35
0.9822875,0.9888935,36
0.985986,0.9829709,37
0.9817876,0.9859245,38
0.9845936,0.98921376,39
